Designator,Footprint,Quantity,Value,LCSC Part #
C1,1210,1,22uF,
D1,D_MiniMELF,1,LL4148,
F1,696310001002,1,Fuse 1A,
K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,SANYOU_SRD_Form_C,
"LED_J1, LED_JS1, LED_RELAIS1, LED_WIFI1",LED_Inolux_IN-PI554FCH_PLCC4_5.0x5.0mm_P3.2mm,4,Inolux_IN-PI554FCH,
Q1,SOT-23,1,TRANS_NPN-MMBT2222AL,
R1,1206,1,470,
R2,1206,1,10k,
RELAIS1,TerminalBlock_Altech_AK300-3_P5.00mm,1,Screw_Terminal_01x03,
SW1,SW_SPST_CK_RS282G05A3,1,SW_Push,
U1,MOUDLE14P-SMD-2.54-21X17.8MM,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3,
